Entity,Code,Date,"Excess mortality P-scores, all ages (%)"
Poland,POL,"Jun 21, 2020",3
Poland,POL,"Jun 28, 2020",5
Portugal,PRT,"Jan 5, 2020",-11
Portugal,PRT,"Jan 12, 2020",-5
Portugal,PRT,"Jan 19, 2020",-3
Portugal,PRT,"Jan 26, 2020",-6
Portugal,PRT,"Feb 2, 2020",0
Portugal,PRT,"Feb 9, 2020",-6
Portugal,PRT,"Feb 16, 2020",-14
Portugal,PRT,"Feb 23, 2020",-6
Portugal,PRT,"Mar 1, 2020",-7
Portugal,PRT,"Mar 8, 2020",-7
Portugal,PRT,"Mar 15, 2020",3
Portugal,PRT,"Mar 22, 2020",10
Portugal,PRT,"Mar 29, 2020",17
Portugal,PRT,"Apr 5, 2020",21
Portugal,PRT,"Apr 12, 2020",23
Portugal,PRT,"Apr 19, 2020",19
Portugal,PRT,"Apr 26, 2020",16
Portugal,PRT,"May 3, 2020",9
Portugal,PRT,"May 10, 2020",13
Portugal,PRT,"May 17, 2020",5
Portugal,PRT,"May 24, 2020",7
Portugal,PRT,"May 31, 2020",21
Portugal,PRT,"Jun 7, 2020",7
Portugal,PRT,"Jun 14, 2020",-1
Portugal,PRT,"Jun 21, 2020",-3
Portugal,PRT,"Jun 28, 2020",14
Portugal,PRT,"Jul 5, 2020",11
